gene_id	protein_id	reference_accession	gene_symbol	identity(%)	coverage(%)	bit_score	evalue
LOC135194921	XP_064077191.1	NP_000001.3	A1BG	38.89	22.00	-	-
LOC135194907	XP_064077192.1	NP_000002.2	A2M	42.86	3.00	-	-
LOC135194922	XP_064077193.1	NP_000001.3	A1BG	29.79	42.00	-	-
LOC135194923	XP_064077194.1	NP_001018081.3	AAAS	42.86	22.00	-	-
LOC135194924	XP_064077195.1	NP_000014.2	AAK1	27.78	7.00	-	-
LOC135194924	XP_064077196.1	NP_000014.2	AAK1	27.78	7.00	-	-
LOC135194925	XP_064077197.1	NP_000001.3	A1BG	30.00	4.00	-	-
LOC135194925	XP_064077198.1	NP_000001.3	A1BG	30.00	4.00	-	-
LOC135194926	XP_064077199.1	NP_000005.2	A2MP1	33.33	5.00	-	-
LOC135194907	XP_064077200.1	NP_000002.2	A2M	42.86	3.00	-	-
LOC135194926	XP_064077201.1	NP_000005.2	A2MP1	33.33	12.00	-	-
LOC135194928	XP_064077202.1	NP_000005.2	A2MP1	41.38	4.00	-	-
LOC135194929	XP_064077203.1	NP_000001.3	A1BG	45.00	11.00	-	-
LOC135194930	XP_064077204.1	NP_000005.2	A2MP1	35.71	11.00	-	-
LOC135194931	XP_064077205.1	NP_000014.2	AAK1	33.33	4.00	-	-
LOC135194931	XP_064077206.1	NP_000014.2	AAK1	33.33	4.00	-	-
LOC135194931	XP_064077207.1	NP_000014.2	AAK1	33.33	4.00	-	-
LOC135194907	XP_064077208.1	NP_000002.2	A2M	42.86	3.00	-	-
LOC135194931	XP_064077209.1	NP_000014.2	AAK1	33.33	4.00	-	-
LOC135194931	XP_064077210.1	NP_000014.2	AAK1	33.33	4.00	-	-
LOC135194931	XP_064077211.1	NP_000014.2	AAK1	33.33	5.00	-	-
LOC135194931	XP_064077212.1	NP_000014.2	AAK1	33.33	5.00	-	-
LOC135194931	XP_064077213.1	NP_000014.2	AAK1	33.33	5.00	-	-
LOC135194847	XP_064077214.1	NP_001018081.3	AAAS	50.00	2.00	-	-
LOC135194931	XP_064077215.1	NP_000014.2	AAK1	33.33	5.00	-	-
LOC135194931	XP_064077216.1	NP_000014.2	AAK1	33.33	5.00	-	-
LOC135194931	XP_064077217.1	NP_000014.2	AAK1	33.33	5.00	-	-
LOC135194932	XP_064077218.1	NP_000001.3	A1BG	37.50	13.00	-	-
LOC135194907	XP_064077219.1	NP_000002.2	A2M	42.86	3.00	-	-
LOC135194934	XP_064077220.1	NP_000002.2	A2M	35.29	2.00	-	-
LOC135194935	XP_064077221.1	NP_000005.2	A2MP1	28.95	2.00	-	-
LOC135194936	XP_064077222.1	NP_000014.2	AAK1	71.43	10.00	-	-
LOC135194936	XP_064077223.1	NP_000014.2	AAK1	71.43	10.00	-	-
LOC135194937	XP_064077224.1	NP_000001.3	A1BG	43.75	5.00	-	-
LOC135194937	XP_064077225.1	NP_000001.3	A1BG	43.75	5.00	-	-
LOC135194937	XP_064077226.1	NP_000001.3	A1BG	43.75	5.00	-	-
LOC135194907	XP_064077227.1	NP_000002.2	A2M	42.86	3.00	-	-
LOC135194938	XP_064077228.1	NP_000001.3	A1BG	29.41	12.00	-	-
LOC135194939	XP_064077229.1	NP_000005.2	A2MP1	40.00	1.00	-	-
LOC135194940	XP_064077230.1	NP_000001.3	A1BG	60.00	9.00	-	-
LOC135194940	XP_064077231.1	NP_000001.3	A1BG	60.00	10.00	-	-
LOC135194940	XP_064077232.1	NP_000001.3	A1BG	60.00	8.00	-	-
LOC135194941	XP_064077233.1	NP_001018081.3	AAAS	25.00	16.00	-	-
LOC135194941	XP_064077234.1	NP_001018081.3	AAAS	25.00	16.00	-	-
LOC135194942	XP_064077235.1	NP_000005.2	A2MP1	40.00	1.00	-	-
LOC135194907	XP_064077236.1	NP_000002.2	A2M	42.86	3.00	-	-
LOC135194946	XP_064077238.1	NP_000014.2	AAK1	20.00	8.00	-	-
LOC135194946	XP_064077239.1	NP_000014.2	AAK1	20.00	8.00	-	-
LOC135194946	XP_064077240.1	NP_000014.2	AAK1	20.00	8.00	-	-
LOC135194946	XP_064077241.1	NP_000014.2	AAK1	20.00	8.00	-	-
LOC135194946	XP_064077242.1	NP_000014.2	AAK1	20.00	8.00	-	-
LOC135194907	XP_064077243.1	NP_000002.2	A2M	42.86	3.00	-	-
LOC135194948	XP_064077244.1	NP_000001.3	A1BG	34.62	7.00	-	-
LOC135194948	XP_064077245.1	NP_000001.3	A1BG	34.62	7.00	-	-
LOC135194949	XP_064077246.1	NP_000002.2	A2M	80.00	1.00	-	-
LOC135194950	XP_064077247.1	NP_000002.2	A2M	40.00	9.00	-	-
LOC135194950	XP_064077248.1	NP_000002.2	A2M	40.00	9.00	-	-
LOC135194950	XP_064077249.1	NP_000002.2	A2M	40.00	10.00	-	-
LOC135194950	XP_064077250.1	NP_000002.2	A2M	40.00	10.00	-	-
LOC135194950	XP_064077251.1	NP_000002.2	A2M	40.00	10.00	-	-
LOC135194952	XP_064077252.1	NP_000005.2	A2MP1	39.13	8.00	-	-
LOC135194953	XP_064077253.1	NP_000001.3	A1BG	30.43	14.00	-	-
LOC135194954	XP_064077254.1	NP_001018081.3	AAAS	38.09	5.00	-	-
LOC135194954	XP_064077255.1	NP_001018081.3	AAAS	38.09	5.00	-	-
LOC135194951	XP_064077256.1	NP_000014.2	AAK1	33.33	8.00	-	-
LOC135194954	XP_064077257.1	NP_001018081.3	AAAS	38.09	5.00	-	-
LOC135194955	XP_064077258.1	NP_001018081.3	AAAS	44.44	8.00	-	-
LOC135194956	XP_064077259.1	NP_000001.3	A1BG	45.45	2.00	-	-
LOC135194956	XP_064077260.1	NP_000001.3	A1BG	45.45	2.00	-	-
LOC135194956	XP_064077261.1	NP_000001.3	A1BG	45.45	2.00	-	-
LOC135194956	XP_064077262.1	NP_000001.3	A1BG	45.45	2.00	-	-
LOC135194957	XP_064077263.1	NP_000014.2	AAK1	29.41	9.00	-	-
LOC135194957	XP_064077264.1	NP_000014.2	AAK1	45.45	3.00	-	-
LOC135194959	XP_064077265.1	NP_001018081.3	AAAS	31.11	6.00	-	-
LOC135194960	XP_064077266.1	NP_000014.2	AAK1	26.67	11.00	-	-
LOC135194961	XP_064077267.1	NP_000001.3	A1BG	57.14	4.00	-	-
LOC135194958	XP_064077268.1	NP_000001.3	A1BG	41.18	10.00	-	-
LOC135194962	XP_064077269.1	NP_000001.3	A1BG	28.57	10.00	-	-
LOC135194962	XP_064077270.1	NP_000001.3	A1BG	28.57	10.00	-	-
LOC135194963	XP_064077271.1	NP_000001.3	A1BG	57.14	9.00	-	-
LOC135194964	XP_064077272.1	NP_000001.3	A1BG	100.00	9.00	-	-
LOC135194965	XP_064077273.1	NP_000014.2	AAK1	39.13	5.00	-	-
LOC135194965	XP_064077274.1	NP_000014.2	AAK1	39.13	5.00	-	-
LOC135194965	XP_064077275.1	NP_000014.2	AAK1	39.13	6.00	-	-
LOC135194966	XP_064077276.1	NP_001018081.3	AAAS	28.57	14.00	-	-
LOC135194968	XP_064077277.1	NP_000002.2	A2M	29.63	4.00	-	-
LOC135194968	XP_064077278.1	NP_000002.2	A2M	29.63	3.00	-	-
LOC135194968	XP_064077279.1	NP_000002.2	A2M	29.63	3.00	-	-
LOC135194968	XP_064077280.1	NP_000002.2	A2M	29.63	3.00	-	-
LOC135194968	XP_064077281.1	NP_000002.2	A2M	29.63	3.00	-	-
LOC135194967	XP_064077282.1	NP_000001.3	A1BG	50.00	12.00	-	-
LOC135194969	XP_064077283.1	NP_001018081.3	AAAS	50.00	6.00	-	-
LOC135194970	XP_064077284.1	NP_001018081.3	AAAS	47.06	6.00	-	-
LOC135194970	XP_064077285.1	NP_001018081.3	AAAS	47.06	6.00	-	-
LOC135194971	XP_064077286.1	NP_000005.2	A2MP1	45.00	10.00	-	-
LOC135194971	XP_064077287.1	NP_000005.2	A2MP1	45.00	10.00	-	-
LOC135194971	XP_064077288.1	NP_000005.2	A2MP1	45.00	11.00	-	-
LOC135194971	XP_064077289.1	NP_000005.2	A2MP1	45.00	10.00	-	-
LOC135194971	XP_064077290.1	NP_000005.2	A2MP1	45.00	10.00	-	-
LOC135194971	XP_064077291.1	NP_000005.2	A2MP1	45.00	10.00	-	-
LOC135194971	XP_064077292.1	NP_000005.2	A2MP1	45.00	10.00	-	-
LOC135194971	XP_064077293.1	NP_000005.2	A2MP1	45.00	11.00	-	-
LOC135194971	XP_064077294.1	NP_000005.2	A2MP1	45.00	12.00	-	-
LOC135194972	XP_064077295.1	NP_000005.2	A2MP1	24.39	32.00	-	-
LOC135194973	XP_064077296.1	NP_001018081.3	AAAS	62.50	1.00	-	-
LOC135194975	XP_064077298.1	NP_000002.2	A2M	34.62	16.00	-	-
LOC135194975	XP_064077299.1	NP_000002.2	A2M	34.62	15.00	-	-
LOC135194975	XP_064077300.1	NP_000002.2	A2M	34.62	13.00	-	-
LOC135194977	XP_064077301.1	NP_000002.2	A2M	24.24	13.00	-	-
LOC135194979	XP_064077302.1	NP_001018081.3	AAAS	75.00	1.00	-	-
LOC135194981	XP_064077303.1	NP_000014.2	AAK1	38.46	4.00	-	-
LOC135194982	XP_064077304.1	NP_000014.2	AAK1	42.10	7.00	-	-
LOC135194983	XP_064077305.1	NP_000014.2	AAK1	25.00	13.00	-	-
LOC135194980	XP_064077306.1	NP_000014.2	AAK1	33.33	7.00	-	-
LOC135194984	XP_064077307.1	NP_001018081.3	AAAS	35.71	3.00	-	-
LOC135194986	XP_064077308.1	NP_000014.2	AAK1	38.09	14.00	-	-
LOC135194986	XP_064077309.1	NP_000014.2	AAK1	38.09	8.00	-	-
LOC135194986	XP_064077310.1	NP_000014.2	AAK1	38.09	10.00	-	-
LOC135194987	XP_064077311.1	NP_000014.2	AAK1	60.00	4.00	-	-
LOC135194987	XP_064077312.1	NP_000014.2	AAK1	60.00	4.00	-	-
LOC135194988	XP_064077313.1	NP_000002.2	A2M	36.11	7.00	-	-
LOC135194991	XP_064077314.1	NP_000002.2	A2M	38.46	6.00	-	-
LOC135194992	XP_064077315.1	NP_000005.2	A2MP1	66.67	7.00	-	-
LOC135194994	XP_064077317.1	NP_000005.2	A2MP1	28.20	14.00	-	-
LOC135194994	XP_064077322.1	NP_000005.2	A2MP1	28.20	14.00	-	-
LOC135194994	XP_064077323.1	NP_000005.2	A2MP1	28.20	14.00	-	-
LOC135194994	XP_064077324.1	NP_000005.2	A2MP1	28.20	14.00	-	-
LOC135194995	XP_064077325.1	NP_000005.2	A2MP1	40.00	2.00	-	-
LOC135194994	XP_064077326.1	NP_000005.2	A2MP1	28.20	14.00	-	-
LOC135194994	XP_064077327.1	NP_001018081.3	AAAS	40.00	3.00	-	-
LOC135194994	XP_064077328.1	NP_000001.3	A1BG	33.33	7.00	-	-
LOC135194994	XP_064077329.1	NP_000001.3	A1BG	33.33	7.00	-	-
LOC135194994	XP_064077330.1	NP_000001.3	A1BG	33.33	7.00	-	-
LOC135194994	XP_064077331.1	NP_000001.3	A1BG	33.33	7.00	-	-
LOC135194994	XP_064077332.1	NP_000001.3	A1BG	33.33	7.00	-	-
LOC135194996	XP_064077333.1	NP_000002.2	A2M	75.00	2.00	-	-
LOC135194997	XP_064077334.1	NP_000002.2	A2M	30.43	3.00	-	-
LOC135194997	XP_064077335.1	NP_000002.2	A2M	30.43	3.00	-	-
LOC135194997	XP_064077336.1	NP_000002.2	A2M	30.43	3.00	-	-
LOC135194999	XP_064077337.1	NP_001018081.3	AAAS	50.00	2.00	-	-
LOC135195000	XP_064077338.1	NP_000001.3	A1BG	33.33	3.00	-	-
LOC135194998	XP_064077339.1	NP_000005.2	A2MP1	66.67	2.00	-	-
LOC135195000	XP_064077340.1	NP_000001.3	A1BG	33.33	3.00	-	-
LOC135195001	XP_064077341.1	NP_000002.2	A2M	62.50	19.00	-	-
LOC135195001	XP_064077342.1	NP_000002.2	A2M	62.50	20.00	-	-
LOC135195001	XP_064077343.1	NP_000005.2	A2MP1	32.43	16.00	-	-
LOC135195002	XP_064077344.1	NP_000001.3	A1BG	34.21	4.00	-	-
LOC135195003	XP_064077345.1	NP_000001.3	A1BG	37.50	5.00	-	-
LOC135195003	XP_064077346.1	NP_000001.3	A1BG	37.50	5.00	-	-
LOC135195004	XP_064077347.1	NP_000014.2	AAK1	42.86	3.00	-	-
LOC135195006	XP_064077348.1	NP_000001.3	A1BG	62.50	3.00	-	-
LOC135195007	XP_064077349.1	NP_001018081.3	AAAS	22.86	43.00	-	-
LOC135195007	XP_064077350.1	NP_001018081.3	AAAS	22.86	43.00	-	-
LOC135195008	XP_064077351.1	NP_001018081.3	AAAS	41.67	4.00	-	-
LOC135195009	XP_064077352.1	NP_000001.3	A1BG	27.27	25.00	-	-
LOC135195010	XP_064077353.1	NP_001018081.3	AAAS	55.56	2.00	-	-
LOC135195010	XP_064077354.1	NP_001018081.3	AAAS	55.56	2.00	-	-
LOC135195012	XP_064077359.1	NP_001018081.3	AAAS	30.00	4.00	-	-
LOC135195014	XP_064077360.1	NP_000001.3	A1BG	30.43	11.00	-	-
LOC135195014	XP_064077361.1	NP_000014.2	AAK1	45.45	6.00	-	-
LOC135195014	XP_064077362.1	NP_000001.3	A1BG	30.43	13.00	-	-
LOC135195014	XP_064077363.1	NP_000001.3	A1BG	22.50	24.00	-	-
LOC135195016	XP_064077366.1	NP_000014.2	AAK1	22.22	5.00	-	-
LOC135195016	XP_064077367.1	NP_000014.2	AAK1	22.22	5.00	-	-
LOC135195016	XP_064077368.1	NP_000014.2	AAK1	22.22	5.00	-	-
LOC135195016	XP_064077369.1	NP_000014.2	AAK1	22.22	5.00	-	-
LOC135195016	XP_064077370.1	NP_000014.2	AAK1	22.22	5.00	-	-
LOC135195016	XP_064077371.1	NP_000014.2	AAK1	22.22	5.00	-	-
LOC135195016	XP_064077372.1	NP_000014.2	AAK1	22.22	5.00	-	-
LOC135195016	XP_064077373.1	NP_000014.2	AAK1	22.22	5.00	-	-
LOC135195017	XP_064077374.1	NP_000014.2	AAK1	63.64	3.00	-	-
LOC135195016	XP_064077375.1	NP_000014.2	AAK1	22.22	5.00	-	-
LOC135195016	XP_064077376.1	NP_000014.2	AAK1	22.22	5.00	-	-
LOC135195016	XP_064077377.1	NP_000014.2	AAK1	22.22	5.00	-	-
LOC135195016	XP_064077378.1	NP_000014.2	AAK1	22.22	5.00	-	-
LOC135195016	XP_064077379.1	NP_000014.2	AAK1	22.22	5.00	-	-
LOC135195018	XP_064077380.1	NP_000001.3	A1BG	50.00	6.00	-	-
LOC135195018	XP_064077381.1	NP_000001.3	A1BG	50.00	6.00	-	-
LOC135195018	XP_064077382.1	NP_000001.3	A1BG	50.00	6.00	-	-
LOC135195019	XP_064077383.1	NP_001018081.3	AAAS	38.46	3.00	-	-
LOC135195017	XP_064077384.1	NP_000014.2	AAK1	63.64	3.00	-	-
LOC135195019	XP_064077385.1	NP_001018081.3	AAAS	38.46	3.00	-	-
LOC135195020	XP_064077386.1	NP_000014.2	AAK1	50.00	4.00	-	-
LOC135195020	XP_064077387.1	NP_000014.2	AAK1	50.00	4.00	-	-
LOC135195020	XP_064077388.1	NP_000014.2	AAK1	50.00	4.00	-	-
LOC135195020	XP_064077389.1	NP_000014.2	AAK1	45.00	11.00	-	-
LOC135195020	XP_064077390.1	NP_000014.2	AAK1	45.00	11.00	-	-
LOC135195022	XP_064077391.1	NP_000001.3	A1BG	37.50	5.00	-	-
LOC135195017	XP_064077392.1	NP_000014.2	AAK1	63.64	3.00	-	-
LOC135195022	XP_064077393.1	NP_000001.3	A1BG	37.50	5.00	-	-
LOC135195023	XP_064077394.1	NP_000005.2	A2MP1	83.33	2.00	-	-
LOC135195023	XP_064077395.1	NP_000005.2	A2MP1	83.33	2.00	-	-
LOC135195023	XP_064077396.1	NP_000005.2	A2MP1	83.33	2.00	-	-
LOC135195024	XP_064077397.1	NP_000002.2	A2M	40.00	3.00	-	-
LOC135195024	XP_064077398.1	NP_000005.2	A2MP1	40.00	3.00	-	-
LOC135195024	XP_064077399.1	NP_000005.2	A2MP1	40.00	3.00	-	-
LOC135195024	XP_064077400.1	NP_000005.2	A2MP1	40.00	3.00	-	-
LOC135195025	XP_064077401.1	NP_000005.2	A2MP1	66.67	4.00	-	-
LOC135195017	XP_064077402.1	NP_000014.2	AAK1	63.64	3.00	-	-
LOC135195025	XP_064077403.1	NP_000005.2	A2MP1	66.67	4.00	-	-
LOC135195026	XP_064077404.1	NP_000014.2	AAK1	45.83	6.00	-	-
LOC135195027	XP_064077405.1	NP_000002.2	A2M	62.50	3.00	-	-
LOC135195027	XP_064077406.1	NP_000002.2	A2M	62.50	3.00	-	-
LOC135195028	XP_064077407.1	NP_000014.2	AAK1	80.00	1.00	-	-
LOC135195028	XP_064077408.1	NP_000001.3	A1BG	50.00	2.00	-	-
LOC135195028	XP_064077409.1	NP_000001.3	A1BG	50.00	2.00	-	-
LOC135195028	XP_064077410.1	NP_000001.3	A1BG	50.00	2.00	-	-
LOC135195017	XP_064077411.1	NP_000014.2	AAK1	63.64	3.00	-	-
LOC135195029	XP_064077412.1	NP_000002.2	A2M	58.33	2.00	-	-
LOC135195030	XP_064077413.1	NP_000001.3	A1BG	25.00	9.00	-	-
LOC135195030	XP_064077414.1	NP_000001.3	A1BG	25.00	9.00	-	-
LOC135195032	XP_064077416.1	NP_000001.3	A1BG	50.00	8.00	-	-
LOC135195033	XP_064077417.1	NP_000014.2	AAK1	38.46	9.00	-	-
LOC135195033	XP_064077418.1	NP_000014.2	AAK1	38.46	9.00	-	-
LOC135195033	XP_064077419.1	NP_000014.2	AAK1	38.46	9.00	-	-
LOC135195033	XP_064077420.1	NP_000014.2	AAK1	38.46	9.00	-	-
LOC135195033	XP_064077421.1	NP_000014.2	AAK1	38.46	5.00	-	-
LOC135195033	XP_064077422.1	NP_000014.2	AAK1	38.46	5.00	-	-
LOC135195033	XP_064077423.1	NP_000014.2	AAK1	38.46	5.00	-	-
LOC135195034	XP_064077424.1	NP_000001.3	A1BG	55.56	7.00	-	-
LOC135195035	XP_064077425.1	NP_000002.2	A2M	33.33	3.00	-	-
LOC135195036	XP_064077426.1	NP_000001.3	A1BG	33.33	2.00	-	-
LOC135195036	XP_064077427.1	NP_000001.3	A1BG	33.33	2.00	-	-
LOC135195037	XP_064077428.1	NP_001018081.3	AAAS	50.00	3.00	-	-
LOC135195039	XP_064077429.1	NP_000001.3	A1BG	22.41	27.00	-	-
LOC135195040	XP_064077430.1	NP_001018081.3	AAAS	36.36	5.00	-	-
LOC135195040	XP_064077431.1	NP_001018081.3	AAAS	36.36	5.00	-	-
LOC135195041	XP_064077432.1	NP_000001.3	A1BG	71.43	6.00	-	-
LOC135195034	XP_064077433.1	NP_000001.3	A1BG	55.56	7.00	-	-
LOC135195042	XP_064077434.1	NP_000002.2	A2M	35.71	7.00	-	-
LOC135195042	XP_064077435.1	NP_000002.2	A2M	35.71	8.00	-	-
LOC135195042	XP_064077436.1	NP_000005.2	A2MP1	35.71	11.00	-	-
LOC135195044	XP_064077437.1	NP_000002.2	A2M	22.22	2.00	-	-
LOC135195044	XP_064077438.1	NP_000002.2	A2M	22.22	2.00	-	-
LOC135195044	XP_064077439.1	NP_000002.2	A2M	22.22	2.00	-	-
LOC135195044	XP_064077440.1	NP_000002.2	A2M	22.22	2.00	-	-
LOC135195045	XP_064077441.1	NP_000002.2	A2M	33.33	5.00	-	-
LOC135195045	XP_064077442.1	NP_001018081.3	AAAS	45.45	3.00	-	-
LOC135195045	XP_064077443.1	NP_001018081.3	AAAS	45.45	3.00	-	-
LOC135195045	XP_064077444.1	NP_001018081.3	AAAS	45.45	3.00	-	-
LOC135195045	XP_064077445.1	NP_001018081.3	AAAS	45.45	3.00	-	-
LOC135195046	XP_064077446.1	NP_000001.3	A1BG	50.00	3.00	-	-
LOC135195045	XP_064077447.1	NP_001018081.3	AAAS	45.45	3.00	-	-
LOC135195047	XP_064077448.1	NP_000014.2	AAK1	45.83	7.00	-	-
LOC135195047	XP_064077449.1	NP_000014.2	AAK1	45.83	7.00	-	-
LOC135195047	XP_064077450.1	NP_000014.2	AAK1	45.83	8.00	-	-
LOC135195048	XP_064077451.1	NP_000014.2	AAK1	45.45	3.00	-	-
LOC135195049	XP_064077452.1	NP_001018081.3	AAAS	27.27	4.00	-	-
LOC135195049	XP_064077453.1	NP_001018081.3	AAAS	27.27	4.00	-	-
LOC135195049	XP_064077454.1	NP_001018081.3	AAAS	27.27	4.00	-	-
LOC135195049	XP_064077455.1	NP_001018081.3	AAAS	27.27	4.00	-	-
LOC135195049	XP_064077456.1	NP_001018081.3	AAAS	27.27	4.00	-	-
LOC135195049	XP_064077457.1	NP_001018081.3	AAAS	28.12	3.00	-	-
LOC135195049	XP_064077458.1	NP_001018081.3	AAAS	28.12	6.00	-	-
