gene_id	protein_id	product	transcript_id
LOC135219109	XP_064111621.1	dehydrodolichyl diphosphate synthase complex subunit DHDDS-like isoform X1	XM_064255551.1
LOC135219109	XP_064111622.1	dehydrodolichyl diphosphate synthase complex subunit DHDDS-like isoform X2	XM_064255552.1
LOC135220083	XP_064113472.1	bromodomain and WD repeat-containing protein 3-like	XM_064257402.1
LOC135219111	XP_064111624.1	F-box/WD repeat-containing protein 2-like	XM_064255554.1
LOC135219111	XP_064111625.1	F-box/WD repeat-containing protein 2-like	XM_064255555.1
LOC135219112	XP_064111627.1	fatty acid hydroxylase domain-containing protein 2-like	XM_064255557.1
LOC135219112	XP_064111626.1	fatty acid hydroxylase domain-containing protein 2-like	XM_064255556.1
LOC135219112	XP_064111629.1	fatty acid hydroxylase domain-containing protein 2-like	XM_064255559.1
LOC135219113	XP_064111630.1	fatty acid hydroxylase domain-containing protein 2-like	XM_064255560.1
LOC135219114	XP_064111631.1	sodium- and chloride-dependent glycine transporter 1-like isoform X1	XM_064255561.1
LOC135219114	XP_064111633.1	sodium- and chloride-dependent glycine transporter 1-like isoform X1	XM_064255563.1
LOC135219114	XP_064111632.1	sodium- and chloride-dependent glycine transporter 1-like isoform X1	XM_064255562.1
LOC135219114	XP_064111634.1	sodium- and chloride-dependent glycine transporter 1-like isoform X2	XM_064255564.1
LOC135218683	XP_064111203.1	uncharacterized protein LOC135218683	XM_064255133.1
LOC135220085	XP_064113473.1	uncharacterized protein LOC135220085	XM_064257403.1
LOC135220086	XP_064113475.1	sodium-coupled monocarboxylate transporter 1-like	XM_064257405.1
LOC135218685	XP_064111204.1	early endosome antigen 1-like	XM_064255134.1
LOC135220087	XP_064113476.1	uncharacterized protein LOC135220087	XM_064257406.1
LOC135220089	XP_064113478.1	integumentary mucin C.1-like	XM_064257408.1
LOC135220088	XP_064113477.1	uncharacterized protein LOC135220088	XM_064257407.1
LOC135219115	XP_064111636.1	monocarboxylate transporter 12-B-like	XM_064255566.1
LOC135219115	XP_064111635.1	monocarboxylate transporter 12-B-like	XM_064255565.1
LOC135219116	XP_064111637.1	protein obstructor-E-like	XM_064255567.1
LOC135220090	XP_064113479.1	heparanase-like	XM_064257409.1
LOC135219118	XP_064111638.1	protein obstructor-E-like isoform X1	XM_064255568.1
LOC135219118	XP_064111639.1	protein obstructor-E-like isoform X2	XM_064255569.1
LOC135218686	XP_064111205.1	uncharacterized protein LOC135218686	XM_064255135.1
LOC135219120	XP_064111641.1	LOW QUALITY PROTEIN: uncharacterized protein LOC135219120	XM_064255571.1
LOC135218687	XP_064111206.1	uncharacterized protein LOC135218687	XM_064255136.1
LOC135219121	XP_064111642.1	uncharacterized protein LOC135219121	XM_064255572.1
LOC135219122	XP_064111644.1	cholinesterase-like isoform X2	XM_064255574.1
LOC135219122	XP_064111643.1	cholinesterase-like isoform X1	XM_064255573.1
LOC135219123	XP_064111646.1	doublecortin domain-containing protein 2-like isoform X2	XM_064255576.1
LOC135219123	XP_064111645.1	doublecortin domain-containing protein 2-like isoform X1	XM_064255575.1
LOC135219124	XP_064111647.1	secretin receptor-like	XM_064255577.1
LOC135219127	XP_064111648.1	probable dimethyladenosine transferase	XM_064255578.1
LOC135219127	XP_064111650.1	probable dimethyladenosine transferase	XM_064255580.1
LOC135219127	XP_064111649.1	probable dimethyladenosine transferase	XM_064255579.1
LOC135219128	XP_064111651.1	SWI/SNF complex subunit SMARCC2-like isoform X1	XM_064255581.1
LOC135219128	XP_064111653.1	SWI/SNF complex subunit SMARCC2-like isoform X2	XM_064255583.1
LOC135219129	XP_064111654.1	barH-like 2 homeobox protein	XM_064255584.1
LOC135218688	XP_064111207.1	zinc finger protein AEBP2-like	XM_064255137.1
LOC135220092	XP_064113480.1	barH-like 1 homeobox protein	XM_064257410.1
LOC135219130	XP_064111655.1	uncharacterized protein LOC135219130	XM_064255585.1
LOC135219132	XP_064111658.1	uncharacterized protein LOC135219132 isoform X2	XM_064255588.1
LOC135219132	XP_064111657.1	uncharacterized protein LOC135219132 isoform X1	XM_064255587.1
LOC135219131	XP_064111656.1	uncharacterized protein LOC135219131	XM_064255586.1
LOC135219133	XP_064111659.1	barH-like 1 homeobox protein	XM_064255589.1
LOC135218690	XP_064111208.1	uncharacterized protein LOC135218690	XM_064255138.1
LOC135219136	XP_064111660.1	uncharacterized protein LOC135219136 isoform X1	XM_064255590.1
LOC135219136	XP_064111661.1	uncharacterized protein LOC135219136 isoform X2	XM_064255591.1
LOC135219137	XP_064111674.1	cytoplasmic dynein 1 intermediate chain-like isoform X10	XM_064255604.1
LOC135219137	XP_064111709.1	cytoplasmic dynein 1 intermediate chain-like isoform X44	XM_064255639.1
LOC135219137	XP_064111703.1	cytoplasmic dynein 1 intermediate chain-like isoform X38	XM_064255633.1
LOC135219137	XP_064111714.1	cytoplasmic dynein 1 intermediate chain-like isoform X48	XM_064255644.1
LOC135219137	XP_064111713.1	cytoplasmic dynein 1 intermediate chain 2-like isoform X47	XM_064255643.1
LOC135219137	XP_064111712.1	cytoplasmic dynein 1 intermediate chain 2-like isoform X46	XM_064255642.1
LOC135219137	XP_064111708.1	cytoplasmic dynein 1 intermediate chain-like isoform X43	XM_064255638.1
LOC135219137	XP_064111711.1	cytoplasmic dynein 1 intermediate chain 2-like isoform X45	XM_064255641.1
LOC135219137	XP_064111678.1	cytoplasmic dynein 1 intermediate chain-like isoform X14	XM_064255608.1
LOC135219137	XP_064111705.1	cytoplasmic dynein 1 intermediate chain-like isoform X40	XM_064255635.1
LOC135219137	XP_064111688.1	cytoplasmic dynein 1 intermediate chain 2-like isoform X24	XM_064255618.1
LOC135219137	XP_064111686.1	cytoplasmic dynein 1 intermediate chain 2-like isoform X22	XM_064255616.1
LOC135219137	XP_064111673.1	cytoplasmic dynein 1 intermediate chain-like isoform X9	XM_064255603.1
LOC135219137	XP_064111697.1	cytoplasmic dynein 1 intermediate chain-like isoform X32	XM_064255627.1
LOC135219137	XP_064111692.1	cytoplasmic dynein 1 intermediate chain-like isoform X28	XM_064255622.1
LOC135219137	XP_064111681.1	cytoplasmic dynein 1 intermediate chain-like isoform X17	XM_064255611.1
LOC135219137	XP_064111698.1	cytoplasmic dynein 1 intermediate chain 2-like isoform X33	XM_064255628.1
LOC135219137	XP_064111682.1	cytoplasmic dynein 1 intermediate chain 2-like isoform X18	XM_064255612.1
LOC135219137	XP_064111687.1	cytoplasmic dynein 1 intermediate chain 2-like isoform X23	XM_064255617.1
LOC135219137	XP_064111679.1	cytoplasmic dynein 1 intermediate chain-like isoform X15	XM_064255609.1
LOC135219137	XP_064111668.1	cytoplasmic dynein 1 intermediate chain-like isoform X4	XM_064255598.1
LOC135219137	XP_064111696.1	cytoplasmic dynein 1 intermediate chain 2-like isoform X31	XM_064255626.1
LOC135219137	XP_064111677.1	cytoplasmic dynein 1 intermediate chain-like isoform X13	XM_064255607.1
LOC135219137	XP_064111683.1	cytoplasmic dynein 1 intermediate chain-like isoform X19	XM_064255613.1
LOC135219137	XP_064111675.1	cytoplasmic dynein 1 intermediate chain-like isoform X11	XM_064255605.1
LOC135219137	XP_064111667.1	cytoplasmic dynein 1 intermediate chain-like isoform X3	XM_064255597.1
LOC135219137	XP_064111689.1	cytoplasmic dynein 1 intermediate chain-like isoform X25	XM_064255619.1
LOC135219137	XP_064111684.1	cytoplasmic dynein 1 intermediate chain-like isoform X20	XM_064255614.1
LOC135219137	XP_064111670.1	cytoplasmic dynein 1 intermediate chain-like isoform X6	XM_064255600.1
LOC135219137	XP_064111690.1	cytoplasmic dynein 1 intermediate chain-like isoform X26	XM_064255620.1
LOC135219137	XP_064111685.1	cytoplasmic dynein 1 intermediate chain-like isoform X21	XM_064255615.1
LOC135219137	XP_064111671.1	cytoplasmic dynein 1 intermediate chain-like isoform X7	XM_064255601.1
LOC135219137	XP_064111676.1	cytoplasmic dynein 1 intermediate chain-like isoform X12	XM_064255606.1
LOC135219137	XP_064111669.1	cytoplasmic dynein 1 intermediate chain-like isoform X5	XM_064255599.1
LOC135219137	XP_064111662.1	cytoplasmic dynein 1 intermediate chain-like isoform X1	XM_064255592.1
LOC135219137	XP_064111700.1	cytoplasmic dynein 1 intermediate chain-like isoform X35	XM_064255630.1
LOC135219137	XP_064111693.1	cytoplasmic dynein 1 intermediate chain-like isoform X29	XM_064255623.1
LOC135219137	XP_064111706.1	cytoplasmic dynein 1 intermediate chain 2-like isoform X41	XM_064255636.1
LOC135219137	XP_064111704.1	cytoplasmic dynein 1 intermediate chain 2-like isoform X39	XM_064255634.1
LOC135219137	XP_064111702.1	cytoplasmic dynein 1 intermediate chain 2-like isoform X37	XM_064255632.1
LOC135219137	XP_064111691.1	cytoplasmic dynein 1 intermediate chain 2-like isoform X27	XM_064255621.1
LOC135219137	XP_064111701.1	cytoplasmic dynein 1 intermediate chain 2-like isoform X36	XM_064255631.1
LOC135219137	XP_064111699.1	cytoplasmic dynein 1 intermediate chain-like isoform X34	XM_064255629.1
LOC135219137	XP_064111695.1	cytoplasmic dynein 1 intermediate chain-like isoform X30	XM_064255625.1
LOC135219137	XP_064111680.1	cytoplasmic dynein 1 intermediate chain-like isoform X16	XM_064255610.1
LOC135219137	XP_064111672.1	cytoplasmic dynein 1 intermediate chain-like isoform X8	XM_064255602.1
LOC135219137	XP_064111666.1	cytoplasmic dynein 1 intermediate chain-like isoform X2	XM_064255596.1
LOC135219137	XP_064111664.1	cytoplasmic dynein 1 intermediate chain-like isoform X1	XM_064255594.1
LOC135219137	XP_064111707.1	cytoplasmic dynein 1 intermediate chain 2-like isoform X42	XM_064255637.1
LOC135219137	XP_064111665.1	cytoplasmic dynein 1 intermediate chain-like isoform X1	XM_064255595.1
LOC135219140	XP_064111715.1	large ribosomal subunit protein eL6-like	XM_064255645.1
LOC135218691	XP_064111210.1	serine/threonine-protein phosphatase PGAM5, mitochondrial-like	XM_064255140.1
LOC135219144	XP_064111724.1	beta-1,3-galactosyltransferase 5-like isoform X4	XM_064255654.1
LOC135219144	XP_064111726.1	beta-1,3-galactosyltransferase 5-like isoform X5	XM_064255656.1
LOC135219144	XP_064111723.1	beta-1,3-galactosyltransferase 5-like isoform X3	XM_064255653.1
LOC135219144	XP_064111727.1	beta-1,3-galactosyltransferase 5-like isoform X5	XM_064255657.1
LOC135219144	XP_064111722.1	beta-1,3-galactosyltransferase 5-like isoform X2	XM_064255652.1
LOC135219144	XP_064111728.1	uncharacterized protein LOC135219144 isoform X6	XM_064255658.1
LOC135219144	XP_064111721.1	beta-1,3-galactosyltransferase 5-like isoform X1	XM_064255651.1
LOC135218692	XP_064111211.1	mucin-7-like	XM_064255141.1
LOC135219141	XP_064111718.1	protein phosphatase 1 regulatory subunit 16A-like	XM_064255648.1
LOC135219141	XP_064111717.1	protein phosphatase 1 regulatory subunit 16A-like	XM_064255647.1
LOC135219142	XP_064111719.1	negative elongation factor B-like	XM_064255649.1
LOC135219142	XP_064111720.1	negative elongation factor B-like	XM_064255650.1
LOC135219146	XP_064111730.1	putative inorganic phosphate cotransporter	XM_064255660.1
LOC135219145	XP_064111729.1	LOW QUALITY PROTEIN: N-acetylated-alpha-linked acidic dipeptidase 2-like	XM_064255659.1
LOC135219148	XP_064111731.1	uncharacterized protein LOC135219148	XM_064255661.1
LOC135219149	XP_064111732.1	uncharacterized protein LOC135219149	XM_064255662.1
LOC135219151	XP_064111733.1	WD repeat-containing protein 37-like isoform X1	XM_064255663.1
LOC135219151	XP_064111735.1	WD repeat-containing protein 37-like isoform X3	XM_064255665.1
LOC135219151	XP_064111734.1	WD repeat-containing protein 37-like isoform X2	XM_064255664.1
LOC135219151	XP_064111736.1	WD repeat-containing protein 37-like isoform X4	XM_064255666.1
LOC135218693	XP_064111212.1	uncharacterized protein K02A2.6-like	XM_064255142.1
LOC135218694	XP_064111213.1	adhesive plaque matrix protein-like	XM_064255143.1
LOC135220096	XP_064113481.1	trichohyalin-like	XM_064257411.1
LOC135218695	XP_064111214.1	putative proline-rich protein 21	XM_064255144.1
LOC135218696	XP_064111215.1	uncharacterized protein LOC135218696	XM_064255145.1
LOC135218698	XP_064111216.1	putative proline-rich protein 21	XM_064255146.1
LOC135218699	XP_064111217.1	myosin-10-like	XM_064255147.1
LOC135218700	XP_064111218.1	kinesin-related protein 4-like	XM_064255148.1
LOC135218701	XP_064111220.1	kinesin-related protein 4-like	XM_064255150.1
LOC135218702	XP_064111221.1	golgin subfamily A member 6-like protein 26	XM_064255151.1
LOC135218703	XP_064111222.1	uncharacterized protein LOC135218703	XM_064255152.1
LOC135219152	XP_064111739.1	KH domain-containing, RNA-binding, signal transduction-associated protein 2-like isoform X2	XM_064255669.1
LOC135219152	XP_064111738.1	KH domain-containing, RNA-binding, signal transduction-associated protein 2-like isoform X1	XM_064255668.1
LOC135219152	XP_064111740.1	KH domain-containing, RNA-binding, signal transduction-associated protein 2-like isoform X3	XM_064255670.1
LOC135218704	XP_064111223.1	trichohyalin-like	XM_064255153.1
LOC135220100	XP_064113484.1	transmembrane protease serine 11B-like protein	XM_064257414.1
LOC135219153	XP_064111744.1	uncharacterized protein LOC135219153	XM_064255674.1
LOC135219153	XP_064111742.1	uncharacterized protein LOC135219153	XM_064255672.1
LOC135219153	XP_064111743.1	uncharacterized protein LOC135219153	XM_064255673.1
LOC135219153	XP_064111745.1	uncharacterized protein LOC135219153	XM_064255675.1
LOC135219153	XP_064111746.1	uncharacterized protein LOC135219153	XM_064255676.1
LOC135219153	XP_064111741.1	uncharacterized protein LOC135219153	XM_064255671.1
LOC135220101	XP_064113485.1	lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase B-like	XM_064257415.1
LOC135219155	XP_064111747.1	uncharacterized protein LOC135219155	XM_064255677.1
LOC135219156	XP_064111749.1	actin-related protein 2/3 complex subunit 2-like isoform X2	XM_064255679.1
LOC135219156	XP_064111748.1	actin-related protein 2/3 complex subunit 2-like isoform X1	XM_064255678.1
LOC135220102	XP_064113486.1	uncharacterized protein LOC135220102	XM_064257416.1
LOC135218705	XP_064111224.1	SCAN domain-containing protein 3-like	XM_064255154.1
LOC135219157	XP_064111750.1	protein TonB-like	XM_064255680.1
LOC135219158	XP_064111752.1	uncharacterized protein LOC135219158	XM_064255682.1
LOC135220103	XP_064113487.1	uncharacterized protein LOC135220103 isoform X1	XM_064257417.1
LOC135220103	XP_064113488.1	uncharacterized protein LOC135220103 isoform X2	XM_064257418.1
LOC135220037	XP_064113438.1	cytochrome P450 2L1-like	XM_064257368.1
LOC135219159	XP_064111753.1	cleavage stimulation factor subunit 1-like	XM_064255683.1
LOC135219160	XP_064111754.1	uncharacterized protein LOC135219160	XM_064255684.1
LOC135219161	XP_064111756.1	uncharacterized protein LOC135219161	XM_064255686.1
LOC135219161	XP_064111755.1	uncharacterized protein LOC135219161	XM_064255685.1
LOC135219162	XP_064111760.1	uncharacterized protein LOC135219162 isoform X4	XM_064255690.1
LOC135219162	XP_064111758.1	uncharacterized protein LOC135219162 isoform X2	XM_064255688.1
LOC135219162	XP_064111759.1	uncharacterized protein LOC135219162 isoform X3	XM_064255689.1
LOC135219162	XP_064111757.1	uncharacterized protein LOC135219162 isoform X1	XM_064255687.1
LOC135219164	XP_064111761.1	E3 ubiquitin-protein ligase TRIM37-like isoform X1	XM_064255691.1
LOC135219164	XP_064111764.1	E3 ubiquitin-protein ligase TRIM37-like isoform X3	XM_064255694.1
LOC135219164	XP_064111763.1	E3 ubiquitin-protein ligase TRIM37-like isoform X2	XM_064255693.1
LOC135219164	XP_064111765.1	E3 ubiquitin-protein ligase TRIM37-like isoform X4	XM_064255695.1
LOC135218707	XP_064111225.1	uncharacterized protein LOC135218707	XM_064255155.1
LOC135219165	XP_064111766.1	E3 ubiquitin-protein ligase TRIM37-like	XM_064255696.1
LOC135219166	XP_064111767.1	LOW QUALITY PROTEIN: kinesin-associated protein 3-like	XM_064255697.1
LOC135219169	XP_064111772.1	probable serine--tRNA ligase, cytoplasmic isoform X1	XM_064255702.1
LOC135219169	XP_064111773.1	probable serine--tRNA ligase, cytoplasmic isoform X2	XM_064255703.1
LOC135219170	XP_064111774.1	ubiquitin carboxyl-terminal hydrolase 14-like	XM_064255704.1
LOC135219167	XP_064111771.1	uncharacterized protein LOC135219167	XM_064255701.1
LOC135219167	XP_064111770.1	uncharacterized protein LOC135219167	XM_064255700.1
LOC135219167	XP_064111768.1	uncharacterized protein LOC135219167	XM_064255698.1
LOC135219167	XP_064111769.1	uncharacterized protein LOC135219167	XM_064255699.1
LOC135218708	XP_064111227.1	uncharacterized protein LOC135218708	XM_064255157.1
LOC135218709	XP_064111228.1	uncharacterized protein LOC135218709	XM_064255158.1
LOC135218710	XP_064111229.1	involucrin-like	XM_064255159.1
LOC135219172	XP_064111776.1	LOW QUALITY PROTEIN: protein piccolo-like	XM_064255706.1
LOC135218711	XP_064111230.1	uncharacterized protein K02A2.6-like	XM_064255160.1
LOC135218713	XP_064111231.1	uncharacterized protein LOC135218713	XM_064255161.1
LOC135218714	XP_064111232.1	uncharacterized protein LOC135218714	XM_064255162.1
LOC135218715	XP_064111234.1	histone-lysine N-methyltransferase, H3 lysine-79 specific-like	XM_064255164.1
LOC135219173	XP_064111779.1	neural cell adhesion molecule 1-like isoform X3	XM_064255709.1
LOC135219173	XP_064111777.1	neural cell adhesion molecule 1-like isoform X1	XM_064255707.1
LOC135219173	XP_064111778.1	neural cell adhesion molecule 1-like isoform X2	XM_064255708.1
LOC135219174	XP_064111780.1	protein obstructor-E-like	XM_064255710.1
LOC135219175	XP_064111781.1	uncharacterized protein LOC135219175	XM_064255711.1
LOC135218716	XP_064111235.1	ABC transporter F family member 4-like	XM_064255165.1
LOC135219177	XP_064111784.1	uncharacterized protein LOC135219177 isoform X3	XM_064255714.1
LOC135219177	XP_064111782.1	uncharacterized protein LOC135219177 isoform X1	XM_064255712.1
LOC135219177	XP_064111783.1	uncharacterized protein LOC135219177 isoform X2	XM_064255713.1
LOC135219178	XP_064111785.1	leukocyte receptor cluster member 1-like	XM_064255715.1
LOC135218717	XP_064111236.1	uncharacterized protein LOC135218717	XM_064255166.1
LOC135218718	XP_064111237.1	uncharacterized protein LOC135218718	XM_064255167.1
LOC135218719	XP_064111238.1	proline-rich protein 36-like	XM_064255168.1
LOC135220108	XP_064113490.1	uncharacterized protein LOC135220108	XM_064257420.1
LOC135219179	XP_064111788.1	uncharacterized protein LOC135219179 isoform X2	XM_064255718.1
LOC135219179	XP_064111787.1	uncharacterized protein LOC135219179 isoform X1	XM_064255717.1
LOC135218720	XP_064111239.1	gelsolin-related protein of 125 kDa-like	XM_064255169.1
LOC135219180	XP_064111792.1	carbohydrate sulfotransferase 1-like	XM_064255722.1
LOC135219180	XP_064111791.1	carbohydrate sulfotransferase 1-like	XM_064255721.1
LOC135219180	XP_064111789.1	carbohydrate sulfotransferase 1-like	XM_064255719.1
LOC135219180	XP_064111790.1	carbohydrate sulfotransferase 1-like	XM_064255720.1
LOC135219181	XP_064111793.1	MAM and LDL-receptor class A domain-containing protein 1-like	XM_064255723.1
LOC135219186	XP_064111807.1	splicing factor 3A subunit 3-like	XM_064255737.1
LOC135219184	XP_064111798.1	signal transducer and activator of transcription 5B-like isoform X4	XM_064255728.1
LOC135219184	XP_064111800.1	signal transducer and activator of transcription 5B-like isoform X4	XM_064255730.1
LOC135219184	XP_064111797.1	signal transducer and activator of transcription 5B-like isoform X4	XM_064255727.1
LOC135219184	XP_064111801.1	signal transducer and activator of transcription 5B-like isoform X4	XM_064255731.1
LOC135219184	XP_064111796.1	signal transducer and activator of transcription 5B-like isoform X3	XM_064255726.1
LOC135219184	XP_064111795.1	signal transducer and activator of transcription 5B-like isoform X2	XM_064255725.1
LOC135219184	XP_064111794.1	signal transducer and activator of transcription 5B-like isoform X1	XM_064255724.1
LOC135219184	XP_064111802.1	signal transducer and activator of transcription 5B-like isoform X5	XM_064255732.1
LOC135219184	XP_064111804.1	signal transducer and activator of transcription 5B-like isoform X7	XM_064255734.1
LOC135219184	XP_064111803.1	signal transducer and activator of transcription 5B-like isoform X6	XM_064255733.1
LOC135219184	XP_064111806.1	signal transducer and activator of transcription 5B-like isoform X9	XM_064255736.1
LOC135219184	XP_064111805.1	signal transducer and activator of transcription 5B-like isoform X8	XM_064255735.1
LOC135219187	XP_064111808.1	trichohyalin-like	XM_064255738.1
LOC135219190	XP_064111813.1	proclotting enzyme-like isoform X3	XM_064255743.1
LOC135219190	XP_064111815.1	proclotting enzyme-like isoform X5	XM_064255745.1
LOC135219190	XP_064111812.1	venom protease-like isoform X2	XM_064255742.1
LOC135219190	XP_064111814.1	proclotting enzyme-like isoform X4	XM_064255744.1
LOC135219190	XP_064111811.1	venom protease-like isoform X1	XM_064255741.1
LOC135219189	XP_064111810.1	medium-chain specific acyl-CoA dehydrogenase, mitochondrial-like isoform X2	XM_064255740.1
LOC135219189	XP_064111809.1	medium-chain specific acyl-CoA dehydrogenase, mitochondrial-like isoform X1	XM_064255739.1
LOC135220109	XP_064113491.1	rhodopsin-like	XM_064257421.1
LOC135218721	XP_064111241.1	probable glutamate receptor	XM_064255171.1
LOC135219191	XP_064111816.1	hemolymph clottable protein-like	XM_064255746.1
LOC135219192	XP_064111817.1	muscle M-line assembly protein unc-89-like	XM_064255747.1
LOC135219193	XP_064111818.1	sodium-coupled monocarboxylate transporter 1-like	XM_064255748.1
LOC135219196	XP_064111822.1	2-amino-1-hydroxyethylphosphonate dioxygenase (glycine-forming)-like	XM_064255752.1
LOC135219194	XP_064111819.1	RING finger protein nhl-1-like	XM_064255749.1
LOC135219194	XP_064111820.1	RING finger protein nhl-1-like	XM_064255750.1
LOC135219194	XP_064111821.1	RING finger protein nhl-1-like	XM_064255751.1
LOC135219197	XP_064111825.1	protein obstructor-E-like isoform X2	XM_064255755.1
LOC135219197	XP_064111823.1	protein obstructor-E-like isoform X1	XM_064255753.1
LOC135219199	XP_064111826.1	protein obstructor-E-like isoform X1	XM_064255756.1
LOC135219199	XP_064111827.1	protein obstructor-E-like isoform X2	XM_064255757.1
LOC135219201	XP_064111828.1	protein obstructor-E-like	XM_064255758.1
LOC135219203	XP_064111831.1	uncharacterized protein LOC135219203 isoform X1	XM_064255761.1
LOC135219203	XP_064111830.1	uncharacterized protein LOC135219203 isoform X1	XM_064255760.1
LOC135219203	XP_064111832.1	uncharacterized protein LOC135219203 isoform X2	XM_064255762.1
LOC135219203	XP_064111833.1	uncharacterized protein LOC135219203 isoform X3	XM_064255763.1
LOC135219202	XP_064111829.1	protein obstructor-E-like	XM_064255759.1
LOC135219205	XP_064111834.1	LOW QUALITY PROTEIN: hemolymph clottable protein-like	XM_064255764.1
LOC135219206	XP_064111836.1	uncharacterized protein LOC135219206 isoform X1	XM_064255766.1
LOC135219206	XP_064111837.1	U-scoloptoxin(01)-Cw1a-like isoform X2	XM_064255767.1
LOC135220110	XP_064113493.1	uncharacterized protein LOC135220110	XM_064257423.1
LOC135220111	XP_064113494.1	uncharacterized protein LOC135220111	XM_064257424.1
LOC135220112	XP_064113495.1	uncharacterized protein LOC135220112	XM_064257425.1
LOC135218722	XP_064111242.1	collagen alpha-1(I) chain-like	XM_064255172.1
LOC135218723	XP_064111243.1	uncharacterized protein LOC135218723	XM_064255173.1
LOC135218725	XP_064111244.1	LOW QUALITY PROTEIN: hemolymph clottable protein-like	XM_064255174.1
LOC135218726	XP_064111245.1	uncharacterized protein LOC135218726	XM_064255175.1
